latitude,longitude
37.76934469,-122.3994226
37.7435137,-122.4197055
37.74598857,-122.3985511
37.75400522,-122.3984551
37.74825046,-122.4011186
37.7647233,-122.4011217
37.73082084,-122.398737
37.7296882,-122.3984009
37.76568806,-122.4273297
37.74572441,-122.4025345
37.76684431,-122.4199917
37.77378716,-122.4002801
37.72944709,-122.3957992
37.76481004,-122.399032
37.73839542,-122.4185967
37.75466798,-122.3995853
37.76848894,-122.3992494
37.77546553,-122.4046338
37.72828309,-122.4013743
37.74121563,-122.422736
37.72878051,-122.4032327
37.74605135,-122.422209
37.74944642,-122.3974769
37.72709394,-122.3973109
37.74965848,-122.3993075
37.7495133,-122.3966157
37.74390322,-122.4198678
37.77161424,-122.4205067
37.77657774,-122.3973208
37.74045858,-122.4205732
37.74765949,-122.3984088
37.7709088,-122.4155002
37.72914995,-122.4012574
37.7487111,-122.4008772
37.75233207,-122.4012217
37.77021706,-122.4044819
37.73093065,-122.4017411
37.74767879,-122.4011585
37.73983914,-122.4188583
37.74996622,-122.3988079
37.72779396,-122.40133
37.74172687,-122.4153391
37.76812737,-122.4239841
37.73934643,-122.4198015
37.75250637,-122.4002449
37.74924318,-122.3982677
37.73391418,-122.4006984
37.76623888,-122.4205251
37.77016716,-122.4181398
37.73961215,-122.4205873
37.76386445,-122.3981787
37.76961184,-122.3983002
37.74611143,-122.4219127
37.76960384,-122.4022271
37.76702979,-122.4157101
37.74080896,-122.4222011
37.75029316,-122.3979228
37.77012878,-122.40484
37.75141942,-122.399198
37.73865401,-122.4176139
37.72797068,-122.3994254
37.76815512,-122.4025949
37.77584149,-122.4197497
37.72845566,-122.3988444
37.73802182,-122.4237013
37.7712315,-122.4004831
37.74091882,-122.4203195
37.74827265,-122.4034069
37.73827953,-122.4219754
37.76701044,-122.4231303
37.76865925,-122.4170239
37.75035832,-122.3999565
37.73001284,-122.3982512
37.72887458,-122.3972732
37.75024015,-122.4003541
37.7281151,-122.4006982
37.76527041,-122.4021058
37.77156291,-122.4257648
37.75064558,-122.3995352
37.73417557,-122.4207175
37.77011563,-122.3939688
37.73197852,-122.4005898
37.76832241,-122.4020114
37.73708633,-122.4172516
37.77374831,-122.4092302
37.75065649,-122.4011822
37.75053968,-122.4000136
37.73801316,-122.4171825
37.77273132,-122.4229612
37.76645982,-122.4211486
37.772255,-122.3953649
37.7526188,-122.3989001
37.74968211,-122.3998914
37.7679858,-122.4010378
37.7693322,-122.4209192
37.76878493,-122.4034336
37.7309714,-122.4030692
37.75168733,-122.3980165
37.7282181,-122.3946175
37.73072303,-122.3977932
37.77609867,-122.4275053
37.74945851,-122.4040749
37.76967092,-122.3986164
37.74093098,-122.4181878
37.76895531,-122.4243039
37.74804286,-122.4004381
37.75302493,-122.3975852
37.76692855,-122.3967531
37.76722812,-122.4259661
37.75137088,-122.4002499
37.7429333,-122.4199349
37.73591097,-122.4170756
37.74854583,-122.3988159
37.75076824,-122.3989857
37.76955639,-122.4001935
37.74170491,-122.4224781
37.7719545,-122.4185512
37.76589517,-122.4235329
37.77013308,-122.4159349
37.73565746,-122.421704
37.72813604,-122.3992713
37.76895069,-122.425127
37.73847601,-122.4222375
37.74764687,-122.4019693
37.77227273,-122.4016937
37.77289993,-122.415697
37.77611832,-122.4173223
37.7376834,-122.4234344
37.7369177,-122.4180087
37.73331417,-122.4191009
37.77008898,-122.4217163
37.73961713,-122.417679
37.76713145,-122.4163509
37.77709014,-122.3980865
37.74956105,-122.3981241
37.74054928,-122.4149867
37.72802882,-122.4002016
37.76818532,-122.4061851
37.7505012,-122.3998202
37.76622945,-122.3996313
37.7513776,-122.3999395
37.73203218,-122.4006597
37.76891724,-122.4221512
37.73677272,-122.4194125
37.73122267,-122.3979653
37.72925829,-122.3968991
37.74992305,-122.3995175
37.74847702,-122.3984555
37.7699139,-122.4147807
37.77188711,-122.424406
37.77054358,-122.3993003
37.73141885,-122.398393
37.73211162,-122.3992812
37.74510416,-122.4007563
37.72914886,-122.3968259
37.76583948,-122.4199089
,-122.3993616
37.74945693,-122.4040286
37.77198292,-122.4022561
37.73962217,-122.4193792
37.72968805,-122.3997862
37.74952009,-122.4001929
37.76789828,-122.4188628
37.77271135,-122.4006541
37.76890647,-122.4232938
37.77397417,-122.414751
37.77123103,-122.4141977
37.74179728,-122.4149896
37.7310407,-122.3994443
37.76992821,-122.3975429
37.73840791,-122.4220514
37.76925856,-122.418246
37.74940554,-122.3970338
37.75165833,-122.3979479
37.77760771,-122.4312953
37.73835271,-122.4206628
37.77265466,-122.4027274
37.74141742,-122.4159109
37.76553873,-122.3997725
37.76418102,-122.3992482
37.72957999,-122.3979167
37.74387915,-122.4232737
37.77112834,-122.4005639
37.76783266,-122.4038939
37.76949236,-122.4220765
37.7671543,-122.3998573
37.7478849,-122.4016981
37.76655969,-122.3969489
37.77489055,-122.3994975
37.76939784,-122.4012979
37.77125459,-122.4215948
37.77231876,-122.4022926
37.76919938,-122.4231428
37.73064057,-122.4004712
37.76810441,-122.4253007
37.75289737,-122.4011817
37.77287055,-122.4087172
37.77232822,-122.3979493
37.72790542,-122.4007032
37.7767621,-122.4218637
37.74963569,-122.3996002
37.72785227,-122.3980123
37.76885839,-122.4133663
37.72971928,-122.3992077
37.77194534,-122.4222779
37.73144308,-122.40192
37.72843502,-122.4001977
37.74862572,-122.3982741
37.73530905,-122.4217212
37.77166298,-122.4013678
37.74979778,-122.4020501
37.78144427,-122.4224404
37.77663825,-122.4229467
37.74938243,-122.4004578
37.74516087,-122.4195732
37.77107045,-122.3986122
37.77216194,-122.3952417
37.77117925,-122.422945
37.74635678,-122.4018846
37.75088208,-122.3984537
37.73834469,-122.423474
37.77263441,-122.4011037
37.73034496,-122.3968881
37.76850869,-122.4253191
37.73071487,-122.399576
37.77408496,-122.3949106
37.74775948,-122.4044486
37.74809812,-122.4003735
37.74178542,-122.4165214
37.73879385,-122.4187004
37.76808826,-122.4054725
37.76219209,-122.4185067
37.77299935,-122.4025745
37.77264462,-122.4148814
37.76980131,-122.4171258
37.76941752,-122.4034775
37.76629352,-122.4005717
37.7738568,-122.4188655
37.74841805,-122.4038587
37.74824305,-122.3999699
37.77599056,-122.4211305
37.77025751,-122.423323
37.73102009,-122.39808
37.74705963,-122.4015829
37.77047057,-122.3994653
37.73501772,-122.4213702
37.73219565,-122.3975936
37.73019879,-122.4012528
37.76698406,-122.401044
37.74719354,-122.3999551
37.77903979,-122.4165238
37.77088443,-122.3974766
37.74223045,-122.4222995
37.74077828,-122.4188835
37.77002114,-122.3953379
37.76845511,-122.4044838
37.76835632,-122.4166203
37.75213869,-122.3998746
37.76903079,-122.4003766
37.73365029,-122.4233434
37.72866864,-122.4005797
37.73824662,-122.4185591
37.74093283,-122.4189792
37.75051558,-122.3974249
37.77761723,-122.4211204
37.76747047,-122.4013031
37.74021056,-122.4208929
37.7273057,-122.3990261
37.74754616,-122.3994576
37.73075842,-122.4003739
37.73238428,-122.3928836
37.7408255,-122.4213193
37.7686978,-122.4025005
37.77174075,-122.4025932
37.73308472,-122.4142909
37.76916726,-122.4158759
37.77025143,-122.4016334
37.74831051,-122.4010874
37.74940044,-122.4008512
37.77735118,-122.4199663
37.74801544,-122.3971395
37.77253514,-122.4164353
37.73127656,-122.4218316
37.77359054,-122.3965103
37.7289329,-122.3985218
37.76575154,-122.4016814
37.7725308,-122.4013775
37.74304722,-122.4240292
37.74189933,-122.4178147
37.74130493,-122.4174774
37.76882123,-122.414384
37.75039655,-122.3984288
37.76831893,-122.4158945
37.72775584,-122.4020084
37.73974737,-122.4147467
37.76742788,-122.4217716
37.77127188,-122.3995196
37.73343396,-122.3995319
37.73664757,-122.4237701
37.76772098,-122.4255698
37.72984132,-122.4001503
37.76558897,-122.4191463
37.74033637,-122.4235579
37.77299329,-122.4033013
37.7481,-122.3991342
37.77671808,-122.42241
37.74304393,-122.4184283
37.72998008,-122.3971044
37.74194881,-122.4216972
37.74955264,-122.4006397
37.77782608,-122.4289985
37.76851735,-122.3958301
37.75202664,-122.4011011
37.73960408,-122.4153254
37.77048398,-122.3997781
37.7374646,-122.414346
37.72599585,-122.4018627
37.73001762,-122.3983545
37.76609785,-122.3996651
37.77126336,-122.3994509
37.77258549,-122.4199141
37.73919112,-122.4218842
37.77267118,-122.4038362
37.7689856,-122.4011726
37.74702136,-122.3973394
37.76846631,-122.4235594
37.74854485,-122.3995464
37.74215621,-122.4156114
37.76816631,-122.4001598
37.76868119,-122.4220295
37.77421284,-122.4013294
37.76777951,-122.4153069
37.74246054,-122.412088
37.77452172,-122.4014776
37.77120272,-122.4151227
37.74203479,-122.4210323
37.72912207,-122.3976638
37.73618594,-122.4135922
37.76632102,-122.4251655
37.7388831,-122.4216067
37.72828422,-122.3991064
37.74003387,-122.4156438
37.73872411,-122.4201422
37.77545289,-122.4198403
37.77276274,-122.4035765
37.74892786,-122.4010589
37.74999315,-122.3991627
37.75200879,-122.4016311
37.73789011,-122.4209239
37.76929087,-122.4193471
37.74272157,-122.4220394
37.74952556,-122.3992883
37.76839056,-122.3978924
37.73075624,-122.4029015
37.73008849,-122.3974915
37.73984739,-122.4261663
37.76887557,-122.4261444
37.76580022,-122.3981653
37.74984357,-122.3993695
37.73269236,-122.3976902
37.74253522,-122.4173549
37.7486728,-122.4008379
37.74096392,-122.4247711
37.76769221,-122.3999205
37.76822542,-122.4206887
37.72840111,-122.4003097
37.73840807,-122.4197848
37.73171705,-122.4016121
37.72798941,-122.3973221
37.76957376,-122.4015916
37.7483283,-122.3970703
37.77687092,-122.4218325
37.73131976,-122.3991051
37.7507876,-122.3978656
37.77497857,-122.4167443
,-122.4019717
37.74638768,-122.4177506
37.72964556,-122.4007049
37.74737405,-122.3995013
37.76673168,-122.4192308
37.742062,-122.4183498
37.77093727,-122.4202985
37.76434022,-122.4225847
37.76931932,-122.4009252
37.74987805,-122.401509
37.72850636,-122.3959328
37.73628863,-122.4201366
37.74155184,-122.4229008
37.77419759,-122.4216659
37.74903064,-122.3986974
37.73595371,-122.4216324
37.73206951,-122.4010958
37.74701292,-122.3995252
37.77076642,-122.4016521
37.72930769,-122.3990491
37.75029773,-122.4029902
37.73339638,-122.3999838
37.76550507,-122.422359
37.77396491,-122.4009149
37.76762884,-122.4234669
37.73374939,-122.3974361
37.74507218,-122.4185413
37.73042709,-122.3992282
37.74976498,-122.3991774
37.74954191,-122.3980698
37.75020949,-122.4007557
37.73705991,-122.4184263
37.73821399,-122.4236605
37.76255816,-122.4219813
37.72709038,-122.4003095
37.74845405,-122.3991163
37.76732412,-122.3989879
37.72880265,-122.4026748
37.72855276,-122.4034885
37.73295816,-122.3972482
37.77124404,-122.4197074
37.72954475,-122.4007151
37.77046624,-122.4274152
37.76797077,-122.420525
37.77010093,-122.3951443
37.77003166,-122.4241906
37.76992357,-122.4174865
37.76638247,-122.3985559
37.72934469,-122.3990832
37.74022004,-122.4162456
37.75243992,-122.4016417
37.76751419,-122.3998654
37.7419873,-122.4198511
37.76945493,-122.3970818
37.73714867,-122.4174336
37.75100797,-122.4032292
37.72746892,-122.4005702
37.77391011,-122.4008793
37.73845185,-122.4236826
37.75199155,-122.4009447
37.74850908,-122.398095
37.75136555,-122.3995878
37.74364934,-122.4170477
37.72727046,-122.4010881
37.74376327,-122.4218285
37.76721655,-122.4009642
37.74944419,-122.398886
37.73148837,-122.3980973
37.75000598,-122.3986908
37.76759567,-122.4239527
37.77043459,-122.414247
37.73343886,-122.3963567
37.7670666,-122.399898
37.73027815,-122.4005455
37.73805564,-122.4228481
37.73764132,-122.4196935
37.73705577,-122.4192616
